Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount,FavoriteCount,ParentId,OwnerDisplayName
2,2,,2013-05-08 19:14:48.833,18,,35,168,2013-05-09 19:55:52.903,2013-05-09 19:55:52.903,6,,1,
4,2,,2013-05-08 19:15:36.803,4,,39,,,2013-05-08 19:15:36.803,1,,1,
5,2,,2013-05-08 19:17:03.953,9,,18,,,2013-05-08 19:17:03.953,1,,1,
8,2,,2013-05-08 19:19:10.630,11,,41,41,2013-05-08 19:25:44.980,2013-05-08 19:25:44.980,1,,7,
10,2,,2013-05-08 19:23:46.547,8,,7,,,2013-05-08 19:23:46.547,1,,3,
12,2,,2013-05-08 19:25:47.447,4,,33,,,2013-05-08 19:25:47.447,0,,9,
18,2,,2013-05-08 19:33:09.987,9,,46,,,2013-05-08 19:33:09.987,0,,6,
19,2,,2013-05-08 19:35:19.733,17,,41,41,2013-05-08 20:21:39.740,2013-05-08 20:21:39.740,1,,16,
20,2,,2013-05-08 19:36:08.447,8,,9,,,2013-05-08 19:36:08.447,2,,16,
21,2,,2013-05-08 19:37:14.993,7,,80,,,2013-05-08 19:37:14.993,0,,11,
22,2,,2013-05-08 19:37:58.360,3,,19,,,2013-05-08 19:37:58.360,0,,9,
25,2,,2013-05-08 19:42:46.407,5,,80,-1,2017-04-13 12:57:29.950,2013-05-09 12:59:30.420,3,,7,
27,2,,2013-05-08 19:43:04.847,5,,46,,,2013-05-08 19:43:04.847,0,,17,
28,2,,2013-05-08 19:46:36.440,12,,7,,,2013-05-08 19:46:36.440,0,,23,
30,2,,2013-05-08 19:49:41.150,10,,86,37,2013-05-08 20:31:36.460,2013-05-08 20:31:36.460,0,,15,
31,2,,2013-05-08 19:52:56.627,2,,41,37,2013-05-08 19:55:25.793,2013-05-08 19:55:25.793,0,,29,
32,2,,2013-05-08 19:57:08.800,12,,108,108,2013-05-08 23:29:22.437,2013-05-08 23:29:22.437,6,,26,
33,2,,2013-05-08 20:00:20.403,9,,108,,,2013-05-08 20:00:20.403,0,,24,
34,2,,2013-05-08 20:01:15.660,14,,117,,,2013-05-08 20:01:15.660,0,,29,
35,2,,2013-05-08 20:02:59.897,10,,41,,,2013-05-08 20:02:59.897,0,,24,
38,2,,2013-05-08 20:21:07.747,2,,26,,,2013-05-08 20:21:07.747,0,,23,
39,2,,2013-05-08 20:25:34.300,24,,122,146,2013-05-10 22:10:23.417,2013-05-10 22:10:23.417,2,,26,
