Id,AcceptedAnswerId,CreationDate,ViewCount,OwnerUserId,Title,Tags,OwnerDisplayName
1,2,2013-05-08 18:59:12,1798,7,Is there a list of all US Government agencies and sub agencies and is it available via API?,data-request;usa;government;api-request,
3,,2013-05-08 19:14:57,93,26,Is there a list of all municipal government forms in a machine readable format?,usa;government,
6,,2013-05-08 19:18:47,398,44,Is there a list of all utilities that offer the Green Button Download and Green Button Connect?,usa;energy,
7,,2013-05-08 19:19:11,6093,41,U.S. City and County Web Data (API),data-request;usa;api-request;city;county,
9,,2013-05-08 19:20:16,120,48,Does any City have POIA (Public Online Information act) laws in place?,usa;city;legal;sunlight-foundation,
11, ,2013-05-08 19:23:54,1844,41,De-identified patient data,data-request;healthcare;medical,
15,30,2013-05-08 19:28:41,195,74,Is the data used to calculate national CPI public?,usa;government;economics;cpi;data-request,
16,19,2013-05-08 19:30:11,1486,46,Is there a complete list of all US tax-exempt nonprofits in machine-readable format?,data-request;usa;nonprofit,
17,,2013-05-08 19:31:05,77,65,"Given a federal agency, what can I expect to find on the regulations.gov API?",usa;fcc;government;rulemaking,
23,,2013-05-08 19:38:36,285,5,How can I get a list of all non-geodata datasets on Data.gov?,usa;data.gov,
24,33,2013-05-08 19:39:59,544,32,How can I trust the authenticity of an open data source?,authenticity;trust;data-request,
26,,2013-05-08 19:42:51,1178,87,Benefits of using CC0 over CC-BY for data,releasing-data;licensing;creative-commons,
29,34,2013-05-08 19:48:08,803,37,What's an easy-to-use tool to manage datasets?,tool-request;analysis,
40,71,2013-05-08 20:30:39,183,130,"Is there an official/complete list of all US government agency ""developers' pages""?",data-request;usa;government;data.gov;api,
41,77,2013-05-08 20:38:40,1035,139,Is there a free downloadable administrative division database of Germany?,data-request;address;postal-code;germany,
42,,2013-05-08 20:41:08,764,46,Should I approach an agency unofficially before FOIAing them?,usa;foia;social-process,
43,76,2013-05-08 20:41:10,821,139,Database with English words with grammatical classification?,english;language,
46,,2013-05-08 20:44:40,4683,139,Multinational list of popular first names and surnames?,data-request;names,
48,,2013-05-08 20:48:43,170,139,Database with the historical prices of most popular products in U.S.?,data-request;usa;products;historical;prices,
52,62,2013-05-08 20:58:30,1410,147,"What server and technologies can I use to extract data out of Wikipedia's infoboxes (e.g., ATC code for drugs)",tool-request;medical;wikipedia;extracting;sparql,
78,,2013-05-08 22:54:02,383,46,Open Data Scorecards?,government;standards,
84,124,2013-05-08 23:50:52,135,169,Where can I get digital cartographic maps of Brazil?,brazil;maps;data-request,
85,,2013-05-09 00:07:36,138,169,GPU hardware specifications data?,data-request;computing,
92,318,2013-05-09 00:47:49,22688,133,Good tools to parse repetitive unstructured data,tool-request;parsing;unstructured-data;programming,
93,114,2013-05-09 00:51:52,3161,169,Graph visualization/analysis tool?,tool-request;analysis;visualization,
95,99,2013-05-09 01:08:39,3538,178,What is the most comprehensive resource for querying french and english books having an ISBN code?,data-request;api-request;books;barcodes,
103,,2013-05-09 01:57:03,4610,183,Where can I find open data on historical forex rates for financial reporting purposes?,data-request;finance,
106,197,2013-05-09 02:48:14,317,190,Data download for Chinese meteorological satellites,data-request;weather;china,
107,,2013-05-09 03:05:16,5019,70,How can I download the complete Wikidata database?,data-request;wikidata;json;rdf,
111,123,2013-05-09 03:43:01,161,169,Is there any world-wide real time catastrophe information system?,tool-request;real-time;disaster,
112,113,2013-05-09 04:36:27,143,198,"How can I access open data on the Indian rupee value, inflation and sensex index over time?",data-request;economics;india,
115,,2013-05-09 05:40:55,4126,160,Are there any good libraries available for doing normalization of company names?,tool-request;companies;opencorporates;normalization,
