Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,CommentCount,FavoriteCount,ParentId,OwnerDisplayName
2,2,,1368004489,18,,35,168,2013-05-09 19:55:53,2013-05-09 19:55:53,6,,1,
4,2,,1368004537,4,,39,,,2013-05-08 19:15:37,1,,1,
5,2,,1368004624,9,,18,,,2013-05-08 19:17:04,1,,1,
8,2,,1368004751,11,,41,41,2013-05-08 19:25:45,2013-05-08 19:25:45,1,,7,
10,2,,1368005027,8,,7,,,2013-05-08 19:23:47,1,,3,
12,2,,1368005147,4,,33,,,2013-05-08 19:25:47,0,,9,
18,2,,1368005590,9,,46,,,2013-05-08 19:33:10,0,,6,
19,2,,1368005720,17,,41,41,2013-05-08 20:21:40,2013-05-08 20:21:40,1,,16,
20,2,,1368005768,8,,9,,,2013-05-08 19:36:08,2,,16,
21,2,,1368005835,7,,80,,,2013-05-08 19:37:15,0,,11,
22,2,,1368005878,3,,19,,,2013-05-08 19:37:58,0,,9,
25,2,,1368006166,5,,80,-1,2017-04-13 12:57:30,2013-05-09 12:59:30,3,,7,
27,2,,1368006185,5,,46,,,2013-05-08 19:43:05,0,,17,
28,2,,1368006396,12,,7,,,2013-05-08 19:46:36,0,,23,
30,2,,1368006581,10,,86,37,2013-05-08 20:31:36,2013-05-08 20:31:36,0,,15,
31,2,,1368006777,2,,41,37,2013-05-08 19:55:26,2013-05-08 19:55:26,0,,29,
32,2,,1368007029,12,,108,108,2013-05-08 23:29:22,2013-05-08 23:29:22,6,,26,
33,2,,1368007220,9,,108,,,2013-05-08 20:00:20,0,,24,
34,2,,1368007276,14,,117,,,2013-05-08 20:01:16,0,,29,
35,2,,1368007380,10,,41,,,2013-05-08 20:03:00,0,,24,
38,2,,1368008468,2,,26,,,2013-05-08 20:21:08,0,,23,
39,2,,1368008734,24,,122,146,2013-05-10 22:10:23,2013-05-10 22:10:23,2,,26,
44,2,,1368009751,1,,140,140,2013-05-08 23:44:16,2013-05-08 23:44:16,1,,29,
45,2,,1368009834,22,,142,,,2013-05-08 20:43:54,1,,42,
49,2,,1368010127,4,,142,142,2013-11-13 01:28:07,2013-11-13 01:28:07,0,,24,
50,2,,1368010207,20,,133,,,2013-05-08 20:50:07,0,,42,
51,2,,1368010350,3,,147,147,2013-05-08 21:03:29,2013-05-08 21:03:29,0,,11,
53,2,,1368010758,2,,142,142,2013-05-13 00:53:42,2013-05-13 00:53:42,3,,26,
55,2,,1368011586,3,,7,,,2013-05-08 21:13:06,0,,52,
62,2,,1368011842,14,,153,7,2013-05-09 13:39:31,2013-05-09 13:39:31,0,,52,
65,2,,1368011976,5,,153,,,2013-05-08 21:19:36,0,,9,
70,2,,1368012125,6,,26,,,2013-05-08 21:22:05,0,,29,
71,2,,1368012519,13,,7,,,2013-05-08 21:28:39,6,,40,
72,2,,1368012548,3,,26,,,2013-05-08 21:29:08,1,,48,
73,2,,1368012782,4,,152,613,2013-12-07 23:02:21,2013-12-07 23:02:21,0,,46,
74,2,,1368012855,5,,26,90,2017-06-16 02:36:28,2017-06-16 02:36:28,0,,16,
75,2,,1368013662,3,,156,,,2013-05-08 21:47:42,1,,17,
76,2,,1368013886,14,,7,,,2013-05-08 21:51:26,0,,43,
77,2,,1368016296,12,,7,,,2013-05-08 22:31:36,2,,41,
79,2,,1368017902,8,,169,169,2013-05-09 13:21:43,2013-05-09 13:21:43,0,,52,
80,2,,1368018840,17,,18,18,2015-05-07 14:50:16,2015-05-07 14:50:16,3,,7,
81,2,,1368020169,10,,18,18,2015-03-24 19:58:11,2015-03-24 19:58:11,2,,46,
88,2,,1368022737,8,,70,70,2013-05-09 00:35:57,2013-05-09 00:35:57,3,,52,
91,2,,1368024187,5,,70,70,2013-05-09 10:03:04,2013-05-09 10:03:04,0,,46,
94,2,,1368025372,25,,70,-1,2017-04-13 12:44:19,2013-08-06 21:57:41,1,,93,
96,2,,1368026173,3,,176,169,2013-05-09 09:10:38,2013-05-09 09:10:38,0,,11,
97,2,,1368026334,15,,152,,,2013-05-09 01:18:54,2,,92,
98,2,,1368027160,1,,181,,,2013-05-09 01:32:40,2,,92,
99,2,,1368027214,11,,152,193,2015-04-03 17:13:30,2015-04-03 17:13:30,6,,95,
100,2,,1368027700,3,,169,,,2013-05-09 01:41:40,0,,95,
101,2,,1368027811,11,,181,,,2013-05-09 01:43:31,1,,93,
102,2,,1368028148,3,,7,,,2013-05-09 01:49:08,2,,95,
105,2,,1368030975,0,,169,,,2013-05-09 02:36:15,8,,85,
110,2,,1368032831,2,,142,,,2013-05-09 03:07:11,0,,92,
113,2,,1368039136,7,,169,,,2013-05-09 04:52:16,1,,112,
114,2,,1368040583,9,,160,,,2013-05-09 05:16:23,0,,93,
116,2,,1368042397,2,,200,,,2013-05-09 05:46:37,0,,93,
117,2,,1368043497,3,,169,,,2013-05-09 06:04:57,0,,103,
120,2,,1368048115,3,,202,,,2013-05-09 07:21:55,3,,26,
123,2,,1368050919,6,,205,169,2013-05-09 09:18:48,2013-05-09 09:18:48,2,,111,
124,2,,1368051012,3,,205,,,2013-05-09 08:10:12,2,,84,
125,2,,1368053415,12,,49,208,2014-01-27 19:24:26,2014-01-27 19:24:26,2,,78,
128,2,,1368054321,4,,183,,,2013-05-09 09:05:21,0,,24,
129,2,,1368055056,2,,169,-1,2017-04-13 12:57:30,2013-05-09 09:17:36,2,,107,
130,2,,1368055362,1,,205,,,2013-05-09 09:22:42,0,,92,
131,2,,1368055745,4,,70,,,2013-05-09 09:29:05,0,,111,
132,2,,1368056108,11,,183,,,2013-05-09 09:35:08,0,,26,
134,2,,1368057521,6,,70,70,2013-05-09 14:16:20,2013-05-09 14:16:20,0,,26,
136,2,,1368058545,11,,70,,,2013-05-09 10:15:45,1,,133,
137,2,,1368063314,14,,211,,,2013-05-09 11:35:14,2,,127,
138,2,,1368063882,4,,18,,,2013-05-09 11:44:42,0,,127,
139,2,,1368067797,5,,41,,,2013-05-09 12:49:57,1,,1,
140,2,,1368069192,7,,178,,,2013-05-09 13:13:12,1,,95,
142,2,,1368069736,5,,183,,,2013-05-09 13:22:16,0,,42,
144,2,,1368075480,7,,206,206,2016-05-15 14:42:22,2016-05-15 14:42:22,1,,93,
